,date,description,language,text,title
0,2020-11-10,"European bank stocks had their strongest two days since the 2008 financial crisis on Tuesday, as promising vaccine developments prompted their recovery.",en,"LONDON/MILAN (Reuters) - European bank stocks had their strongest two days since the 2008 financial crisis on Tuesday, as promising vaccine developments prompted their recovery.
FILE PHOTO: A stock … [+2836 chars]",Strongest rally since 2008 fuels hopes of European bank stocks' revival - Reuters UK
1,2020-11-03,"Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial crisis and the 2010 euro crisis.",en,"LONDON (Reuters) - Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial cris… [+576 chars]",Over and out: EM central bank 20-month easing cycle grinds to a halt - Reuters
2,2020-11-03,"Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial crisis and the 2010 euro crisis.",en,"LONDON (Reuters) - Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial cris… [+576 chars]",Over and out: EM central bank 20-month easing cycle grinds to a halt - Reuters UK
3,2020-11-03,"Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial crisis and the 2010 euro crisis.",en,"A security guard's reflection is seen next to the logo of the Reserve Bank Of India (RBI) at the RBI headquarters in Mumbai, India, June 6, 2019. REUTERS/Francis Mascarenhas/File Photo
LONDON (Reute… [+765 chars]",GRAPHIC-Over and out: EM central bank 20-month easing cycle grinds to a halt - Reuters.com
4,2020-11-23,"After the panic comes the bailout. And after the bailout comes the reckoning. In 2008, governments rescued banks and then embarked on a decade-long overhaul to ensure they would never need to do so again. This year’s pandemic-induced meltdown in financial mar…",en,"LONDON (Reuters Breakingviews) - After the panic comes the bailout. And after the bailout comes the reckoning. In 2008, governments rescued banks and then embarked on a decade-long overhaul to ensure… [+5899 chars]",Breakingviews - March’s market bailout demands regulatory payback - Reuters
5,2020-11-16,"PNC Financial Services Group Inc <PNC.N> said on Monday it would buy the U.S. business of Spanish lender BBVA <BBVA.MC> for $11.6 billion in cash, further consolidating the U.S. banking sector.",en,"By Reuters Staff
FILE PHOTO: BBVA bank logo is pictured in Bogota, Colombia February 14, 2020. REUTERS/Luisa Gonzalez
(Reuters) - PNC Financial Services Group Inc PNC.N said on Monday it would buy … [+292 chars]",PNC to buy BBVA's U.S. banking arm for $11.6 billion in cash - Reuters
6,2020-11-04,"Many Wall Street banks' favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support a decade after the financial crisis tarnished its image in Washington.",en,"WASHINGTON (Reuters) - Many Wall Street banks favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support … [+3914 chars]",U.S. banks see several allies returned to key congressional seats - Reuters
7,2020-11-04,"Many Wall Street banks' favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support a decade after the financial crisis tarnished its image in Washington.",en,"WASHINGTON (Reuters) - Many Wall Street banks favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support … [+3957 chars]",U.S. banks see several allies returned to key congressional seats - Reuters India
8,2020-11-04,"Many Wall Street banks' favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support a decade after the financial crisis tarnished its image in Washington.",en,"By Pete Schroeder
WASHINGTON (Reuters) - Many Wall Street banks favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of … [+3976 chars]",U.S. banks see several allies returned to key congressional seats - Reuters Canada
9,2020-11-16,"PNC Financial Services Group Inc said on Monday it would buy the U.S. business of Spanish lender BBVA for $11.6 billion in cash, further consolidating the U.S. banking sector.",en,"By Reuters Staff
FILE PHOTO: The logo above a PNC Bank is shown in Charlotte, North Carolina April 18, 2012. REUTERS/Chris Keane/File photo
(Reuters) - PNC Financial Services Group Inc said on Mond… [+300 chars]",PNC to buy BBVA's U.S. banking arm for $11.6 billion in cash - Reuters India
10,2020-11-05,Companies are lining up to go public in Tel Aviv at a rate unseen in over a decade with the stock exchange getting a much needed boost as coronavirus limitations prompt businesses to raise funds closer to home.,en,JERUSALEM (Reuters) - Companies are lining up to go public in Tel Aviv at a rate unseen in over a decade with the stock exchange getting a much needed boost as coronavirus limitations prompt business… [+1936 chars],Tel Aviv exchange sees stream of IPOs during coronavirus crisis - Reuters
11,2020-11-16,"PNC Financial Services Group Inc <PNC.N> is nearing an all-cash deal to buy the U.S. business of Spanish lender BBVA <BBVA.MC> for more than $10 billion, further consolidating the U.S. banking sector, people familiar with the matter said on Sunday.",en,"(Reuters) - PNC Financial Services Group Inc PNC.N is nearing an all-cash deal to buy the U.S. business of Spanish lender BBVA BBVA.MC for more than $10 billion, further consolidating the U.S. bankin… [+3775 chars]",PNC nears deal to buy BBVA's U.S. banking arm for more than $10 billion - sources - Reuters India
12,2020-11-06,"Effective and quick policy coordination among major economies have helped keep currencies stable despite the shock caused by the coronavirus pandemic, Bank of Japan board member Makoto Sakurai said in a research paper released on Friday.",en,"By Reuters Staff
FILE PHOTO: Bank of Japan's (BOJ) board member Makoto Sakurai speaks during an interview with Reuters at the BOJ headquarters in Tokyo, Japan, September 1, 2016. REUTERS/Toru Hanai… [+1831 chars]",BOJ's Sakurai says global policy coordination kept FX moves stable - Reuters India
13,2020-11-06,"Effective and quick policy coordination among major economies have helped keep currencies stable despite the shock caused by the coronavirus pandemic, Bank of Japan board member Makoto Sakurai said in a research paper released on Friday.",en,"By Reuters Staff
FILE PHOTO: Bank of Japan's (BOJ) board member Makoto Sakurai speaks during an interview with Reuters at the BOJ headquarters in Tokyo, Japan, September 1, 2016. REUTERS/Toru Hanai… [+1831 chars]",BOJ's Sakurai says global policy coordination kept FX moves stable - Reuters
14,2020-11-11,"Ray Dalio, founder of Bridgewater Associates, expressed support on Wednesday for China's abrupt decision to suspend Ant Group's record $37 billion listing, citing the need to curb risks from financial innovation.",en,"By Reuters Staff
SHANGHAI (Reuters) - Ray Dalio, founder of Bridgewater Associates, expressed support on Wednesday for Chinas abrupt decision to suspend Ant Groups record $37 billion listing, citing… [+2048 chars]","Bridgewater's Dalio supports Ant IPO suspension, bullish on China - Reuters"
15,2020-11-16,"Britain will face a growing skills shortage over the next decade if it does not start retraining and reskilling workers for the shift to a digital-based economy which has been sped up by the COVID-19 pandemic, a McKinsey report said on Monday.",en,"By Reuters Staff
A person looks at the adverts in the window of a job agency in London, Britain October 13, 2020. REUTERS/Hannah McKay/Files
LONDON (Reuters) - Britain will face a growing skills sh… [+1696 chars]","UK faces skills shortage as COVID-19 splits job market, McKinsey says - Reuters India"
16,2020-11-16,"Britain will face a growing skills shortage over the next decade if it does not start retraining and reskilling workers for the shift to a digital-based economy which has been sped up by the COVID-19 pandemic, a McKinsey report said on Monday.",en,"By Reuters Staff
FILE PHOTO: People wearing face masks walk past a job recruitment centre amid the outbreak of the coronavirus disease (COVID-19) in Newcastle-under-Lyme, Staffordshire, Britain, Sep… [+1790 chars]","UK faces skills shortage as COVID-19 splits job market, McKinsey says - Reuters.com"
17,2020-11-16,Walmart’s sale of a majority stake in its Seiyu supermarkets is an example of how a global health crisis can accelerate change even in the stodgiest of markets. The U.S. retail giant is offloading 65% to private equity shop KKR and 20% to Seiyu’s Japanese e-c…,en,"A woman is reflected on a logo of Seiyu at its chainstore in Tokyo, Japan, July 12, 2018. REUTERS/Kim Kyung-Hoon 
HONG KONG (Reuters Breakingviews) - Walmarts sale of a majority stake in its Seiyu s… [+2645 chars]",Breakingviews - Walmart sale is nod to Japan’s online Suga rush - Reuters
18,2020-10-30,"British lender NatWest reported forecast-beating third quarter earnings on Friday, after setting aside a smaller cash pile in the period to deal with likely loan defaults due to the coronavirus pandemic.",en,"By Reuters Staff
LONDON, Oct 30 (Reuters) - British lender NatWest reported forecast-beating third quarter earnings on Friday, after setting aside a smaller cash pile in the period to deal with like… [+865 chars]",NatWest swings to profit as pandemic loan charges fall - Reuters
19,2020-10-30,"NatWest <NWG.L> reported better than expected third quarter profit as COVID-19-linked provisions for bad loans dwindled, but it warned tougher times lie ahead as fresh social and economic restrictions to curb the pandemic begin to bite.",en,"LONDON (Reuters) - NatWest NWG.L reported better than expected third quarter profit as COVID-19-linked provisions for bad loans dwindled, but it warned tougher times lie ahead as fresh social and eco… [+2469 chars]",NatWest swings to profit as pandemic loan charges fall - Reuters
0,2020-11-16,"INTERVIEW - Pour le président de la société de conseil Alixio, spécialiste des politiques sociales, le mécontentement et le sentiment d'injustice dans une période aussi incertaine peuvent être des facteurs spontanés très forts de déclenchement de crise.",fr,"LE FIGARO. - Après la crise sanitaire, doit-on craindre une crise sociale ?
Raymond SOUBIE. - Une crise sociale n'est jamais certaine. Mais il y a beaucoup d'éléments qui laissent penser qu'aujourd'… [+911 chars]",Raymond Soubie: «Beaucoup de travailleurs indépendants ont un sentiment d'injustice»
1,2020-11-23,DÉCRYPTAGE - La pandémie mondiale se révèle particulièrement compliquée à gérer pour les grands groupes industriels et de services.,fr,"Depuis une décennie, les géants de lindustrie et des services ont appris à gérer lenvironnement «Vuca», acronyme créé par larmée américaine pour décrire le nouvel ordre du monde: volatil, incertain, … [+908 chars]",Le Covid contraint même les plus résilients à se remettre en cause
2,2020-11-20,"La star des cryptomonnaies est à une encolure d’atteindre son record historique, atteint le 17 décembre 2017.",fr,"Né de la crise financière de 2008, le bitcoin prospère sur le marasme économique et sanitaire de 2020. La star des cryptomonnaies a dépassé les 18.500 dollars vendredi, à une encolure de son record h… [+1443 chars]","À près de 19.000 dollars, le cours du bitcoin tutoie son pic historique"
3,2020-11-13,"Sur un an, la hausse des prix est nulle en France et c’est un potentiel danger pour l’avenir.",fr,"Au mois doctobre en France, les prix nont globalement pas bougé dun iota: la variation a été de 0%! Les légères hausses de lénergie et de lalimentation ont été compensées par la baisse des services. … [+893 chars]","L‘inflation, un indice contesté à portée très politique"
4,2020-10-29,INTERVIEW - Le PDG de Labellemontagne détaille pour Le Figaro les mesures mises en œuvre pour agrémenter le séjour des vacanciers.,fr,"LE FIGARO Quels sont vos arguments, sanitaires et financiers, pour rassurer ceux qui hésitent à réserver leurs vacances d'hiver à la montagne ?
Jean-Yves RÉMY. Toutes les précautions sanitaires sero… [+2755 chars]",Jean-Yves Rémy : «Toutes les précautions sanitaires seront prises dans nos stations »
5,2020-11-10,L’économiste Guntram Wolff regrette dans une tribune au « Monde » que ni les gouvernements européens ni la Commission européenne n’aient mis l’aide aux jeunes chômeurs et à l’éducation en tête de leurs priorités budgétaires,fr,"Tribune. La crise financière mondiale de 2008 avait déjà laissé de profondes cicatrices en termes de pertes demploi et de chômage. En Europe en particulier, le chômage des jeunes a persisté. Aujourdh… [+2707 chars]",« Les institutions européennes et les décideurs politiques nationaux ne peuvent pas se permettre d’oublier la jeunesse une nouvelle fois »
6,2020-11-22,"Lancée en 2008, la plateforme de location et de réservation de biens immobiliers Airbnb n’a cessé d’enregistrer des déficits au cours de sa dizaine d’années d’existence. Toutefois, sa situation financière a commencé à s’améliorer en 2019. Mais ce sera sans co…",fr,"Lancée en 2008, la plateforme de location et de réservation de biens immobiliers Airbnb na cessé denregistrer des déficits au cours de sa dizaine dannées dexistence. Toutefois, sa situation financièr… [+2157 chars]",Airbnb n’a pas été épargné par cette pandémie de Covid-19
7,2020-11-06,Le confinement du printemps a déjà fait de nombreuses victimes collatérales par manque de soins. Celui de l’automne s’ouvre avec une dépression économique en perspective. Danger.,fr,Beaucoup. Beaucoup trop: 30000. Le nombre de cancers qui nont pas été diagnostiqués en France lors du confinement du printemps. La raison? La quasi-mise à larrêt des dépistages en médecine de ville c… [+2357 chars],Crise économique et crise sanitaire : l'effet double lame
8,2020-11-09,"Le monde des traders est-il vraiment sans foi, ni loi comme dans « Billions », « Devils » ou encore « Industry », diffusée ce lundi sur HBO et ce mardi sur OCS ? Réponse avec ex-trader",fr,"« Industry », diffusée ce lundi sur HBO et ce mardi sur OCS City, suit un groupe de jeunes loups de la finance à Londres. HBO
Une plongée dans le monde des jeunes loups de la finance. Industry, diff… [+5995 chars]","« Billions », « Devils », « Industry »… Les séries sur la finance, vues par un ex-trader"
9,2020-11-17,"Avec l’euphorie des Bourses suite à l’annonce d’un vaccin la semaine dernière, l’ensemble des actions de la planète vaut 95 000 milliards de dollars et dépasse le PIB mondial. Cette déconnexion de l’économie réelle indique une surchauffe.",fr,"Avec leuphorie des Bourses suite à lannonce dun vaccin la semaine dernière, lensemble des actions de la planète vaut 95000 milliards de dollars et dépasse le PIB mondial. Cette déconnexion de léconom… [+1817 chars]",Le record de capitalisation boursière est-il le signe d’une bulle spéculative ?
10,2020-11-01,"Glasgow - Parce qu'ils ""révèlent tant de choses sur notre style de vie"" et pour alerter sur leur impact sur l'environnement, l'artiste britannique Katrina Cobain a mis en ligne une collection de sacs plastique, en attendant de pouvoir ouvrir un musée.",fr,"Délicatement, comme si elle manipulait un objet ancien et précieux, Katrina Cobain déballe son colis et place soigneusement les sacs plastique qu'il contient sur une table d'exposition d'un atelier d… [+3008 chars]",Ecosse: la deuxième vie des sacs plastique dans un musée virtuel
11,2020-11-20,"Avec la crise de la Covid-19, Dany Lang, ""économiste atterré"", pointe la nécessité de remettre un débat pluraliste et sérieux au centre de la discipline. Explications.",fr,"Après avoir été remis sur le devant de la scène par la crise de la Covid-19, les hétérodoxes de la sphère économique - ceux qui jugent que les lois du marché ne sont pas efficientes - pointent la res… [+5734 chars]","""La crise économique et sociale résulte de l’application des préconisations des économistes néolibéraux"""
12,2020-11-21,"Berlin - Angela Merkel, élue chancelière le 22 novembre 2005, semblait il y a encore quelques mois gagnée par l'usure du pouvoir. Mais sa gestion de l'épidémie en Allemagne a remis au centre du jeu l""'inoxydable"" chancelière.",fr,"Qu'elle semble loin cette année 2019, quand la dirigeante allemande, à la tête d'une grande coalition à bout de souffle, paraissait dépassée par la mobilisation de la jeunesse pour le climat. 
Comme… [+4750 chars]","Angela Merkel, 15 ans à la chancellerie et une popularité ""inoxydable"""
13,2020-11-08,"Consommation, production et exportations en hausse, au profit du luxe, de l'automobile et de la tech: la crise du Covid est presque oubliée en Chine.",fr,"'économie chinoise? Alors que l'Europe craint de voir son activité replonger avec la deuxième vague du Covid-19 et que le redémarrage reste fragile aux Etats-Unis, la Chine bénéficie d'un rebond de s… [+6281 chars]",Covid: la Chine renoue (déjà) avec la croissance
14,2020-11-11,"20% des Français ont des pensées suicidaires, d'après un sondage de l'Ifop et de la fondation Jean Jaurès. Un chiffre alarmant malgré sa stabilité par rapport à 2016, qui cache la fragilité particulière des jeunes, chômeurs, dirigeants d'entreprises, artisans…",fr,"Les idées suicidaires sont restées au même niveau en septembre 2020 que quatre ans auparavant, malgré l'amélioration des chiffres du chômage depuis 2018, d'après un sondage de la Fondation Jean Jaurè… [+8470 chars]",Covid-19 : une crise qui menace d'augmenter le risque de suicides
15,2020-11-10,"Partout à travers le monde, les gouvernements sont à la manœuvre pour combattre la pandémie et son impact économique, et cela même dans ceux réputés les plus libéraux.  Lire la suite",fr,"Temps de lecture: 11 min
Du premier confinement au second, en passant par toutes les étapes intermédiaires, les Français·es ont pu voir à quel point les décisions prises par le pouvoir exécutif pour… [+16356 chars]",Jamais l'emprise des États sur l'économie n'a été aussi forte
16,2020-11-04,La campagne a remis au centre des débats la place de l’Etat dans l’économie.,fr,"Lissette, d'origine cubaine, soutient Donald Trump, à Miami, en Floride, le 3 novembre 2020. BENJAMIN PETIT POUR ""LE MONDE""
Il y a les soirs délection et les glissements de terrain idéologiques, les… [+3025 chars]","Elections américaines : de Bernie Sanders à Donald Trump, la revanche de l’Etat"
17,2020-10-23,Les premières obligations européennes -qui viennent d’être émises pour financer le plan de relance- ont connu un franc succès. Mais la confiance vis-à-vis de la solidité financière de l’UE et les taux très bas ne sont que l’arbre qui cache la forêt de la dépr…,fr,On nous dit depuis des années que la constitution de dettes communes européennes marquerait un moment « hamiltonien » ; lappétit récent des investisseurs pour ce type dinstrument financier serait la … [+9028 chars],La dette européenne s’arrache comme des petits pains. Mais il y a une très mauvaise nouvelle derrière la bonne
18,2020-10-31,"Dans sa chronique au « Monde », l’économiste Jézabel Couppey-Soubeyran invite à surveiller la concentration bancaire à l’œuvre en Europe.",fr,"Chronique. Annonces et bruits de fusions bancaires vont bon train partout en Europe. Si cela se concrétise, les colosses des secteurs bancaires nationaux en ressortiront encore plus grands, mais pas … [+2502 chars]",« Des banques trop grosses pour réussir »
19,2020-11-12,"Nissan annonce ce jeudi la perspective d’une perte nette annuelle de 615 milliards de yens (4,95 milliards d'euros) pour son exercice fiscal annuel 2020-21. Ce sera son troisième exercice négatif depuis la prise de contrôle par Renault. La marge opérationnell…",fr,Nissan veut persuader les analystes qu’il va un peu mieux. Mais le partenaire de Renault n’est pas sorti du trou. Et son cours de bourse a encore chuté de 2%. Nissan annonce ce jeudi la perspective d… [+5352 chars],"Nissan, l'allié malade de Renault, perd beaucoup d'argent"
